0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2024-10-21T11:36:36.988000,2024-10-21T11:16:12.434000,1224.554
0,0,0
0,0,0
2024-10-21T11:36:36.988000,2024-10-21T11:16:12.434000,1224.554
2024-10-21T11:36:36.988000,2024-10-21T11:16:12.434000,1224.554
2024-10-21T11:36:36.988000,2024-10-21T11:16:12.434000,1224.554
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2024-10-17T11:56:48.375000,2024-10-17T11:40:55.178000,953.197
0,0,0
0,0,0
0,0,0
2024-10-17T11:56:48.375000,2024-10-17T11:40:55.178000,953.197
2024-10-17T11:56:48.375000,2024-10-17T11:40:55.178000,953.197
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2024-10-11T11:37:08.679000,2024-10-11T11:28:50.460000,498.219
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2024-10-04T11:47:11.149000,2024-10-04T11:22:38.614000,1472.535
2024-10-04T11:46:56.383000,2024-10-04T11:22:38.614000,1457.769
2024-10-04T11:47:11.149000,2024-10-04T11:22:38.614000,1472.535
