latitude,longitude,FIRMS_date,image_date,date_diff_hours,cloud_pct,thumbnail_file,satellite_image_source,detecion_source,country,firms_sensor
-16.5626,-63.2004,2024-12-30T06:37:00,2024-12-30T14:37:23.935000,8.01,11.844788,point_114.png,sentinel-2,modis_Bolivia,Bolivia,modis
-13.7907,-66.8908,2024-12-28T14:31:00,2024-12-28T14:46:47.082000,0.26,23.937154,point_214.png,sentinel-2,modis_Bolivia,Bolivia,modis
-13.7977,-66.8664,2024-12-28T06:55:00,2024-12-28T14:46:47.082000,7.86,23.937154,point_221.png,sentinel-2,modis_Bolivia,Bolivia,modis
-13.7851,-66.8864,2024-12-28T06:55:00,2024-12-28T14:46:47.082000,7.86,23.937154,point_222.png,sentinel-2,modis_Bolivia,Bolivia,modis
-16.5489,-60.6361,2024-12-27T13:52:00,2024-12-27T14:27:19.177000,0.59,0.015871,point_299.png,sentinel-2,modis_Bolivia,Bolivia,modis
-14.5097,-65.0704,2024-11-30T13:56:00,2024-11-30T14:36:46.960000,0.68,5.349525,point_953.png,sentinel-2,modis_Bolivia,Bolivia,modis
-13.7041,-65.8274,2024-11-13T14:05:00,2024-11-13T14:46:38.236000,0.69,45.378092,point_2436.png,sentinel-2,modis_Bolivia,Bolivia,modis
-13.7126,-65.8403,2024-11-13T14:05:00,2024-11-13T14:46:38.236000,0.69,45.378092,point_2437.png,sentinel-2,modis_Bolivia,Bolivia,modis
-15.8878,-64.0255,2024-10-31T13:38:00,2024-10-31T14:37:11.343000,0.99,2.175985,point_3909.png,sentinel-2,modis_Bolivia,Bolivia,modis
-15.8863,-64.0355,2024-10-31T13:38:00,2024-10-31T14:37:11.343000,0.99,2.175985,point_3910.png,sentinel-2,modis_Bolivia,Bolivia,modis
-15.9956,-62.9393,2024-10-31T13:38:00,2024-10-31T14:37:03.408000,0.98,6.807498,point_3911.png,sentinel-2,modis_Bolivia,Bolivia,modis
-13.715,-63.5619,2024-10-31T13:37:00,2024-10-31T14:36:39.054000,0.99,6.294551,point_3936.png,sentinel-2,modis_Bolivia,Bolivia,modis
-13.7165,-63.552,2024-10-31T13:37:00,2024-10-31T14:36:39.054000,0.99,6.294551,point_3937.png,sentinel-2,modis_Bolivia,Bolivia,modis
-13.7181,-63.5421,2024-10-31T13:37:00,2024-10-31T14:36:39.054000,0.99,6.294551,point_3938.png,sentinel-2,modis_Bolivia,Bolivia,modis
-13.7196,-63.5322,2024-10-31T13:37:00,2024-10-31T14:36:39.054000,0.99,6.294551,point_3939.png,sentinel-2,modis_Bolivia,Bolivia,modis
-13.7258,-63.5534,2024-10-31T13:37:00,2024-10-31T14:36:39.054000,0.99,6.294551,point_3940.png,sentinel-2,modis_Bolivia,Bolivia,modis
-13.7273,-63.5435,2024-10-31T13:37:00,2024-10-31T14:36:39.054000,0.99,6.294551,point_3941.png,sentinel-2,modis_Bolivia,Bolivia,modis
-13.735,-63.5549,2024-10-31T13:37:00,2024-10-31T14:36:39.054000,0.99,6.294551,point_3942.png,sentinel-2,modis_Bolivia,Bolivia,modis
-13.9118,-63.1814,2024-10-31T13:37:00,2024-10-31T14:36:39.054000,0.99,6.294551,point_3950.png,sentinel-2,modis_Bolivia,Bolivia,modis
-13.9132,-63.1718,2024-10-31T13:37:00,2024-10-31T14:36:39.054000,0.99,6.294551,point_3951.png,sentinel-2,modis_Bolivia,Bolivia,modis
-14.2113,-62.7834,2024-10-31T13:37:00,2024-10-31T14:36:35.648000,0.99,4.348846,point_3954.png,sentinel-2,modis_Bolivia,Bolivia,modis
-14.2189,-62.7941,2024-10-31T13:37:00,2024-10-31T14:36:35.648000,0.99,4.348846,point_3955.png,sentinel-2,modis_Bolivia,Bolivia,modis
-14.2203,-62.7848,2024-10-31T13:37:00,2024-10-31T14:36:35.648000,0.99,4.348846,point_3956.png,sentinel-2,modis_Bolivia,Bolivia,modis
-14.3617,-62.5762,2024-10-31T13:37:00,2024-10-31T14:36:35.648000,0.99,4.348846,point_3959.png,sentinel-2,modis_Bolivia,Bolivia,modis
-15.8812,-64.0416,2024-10-31T06:11:00,2024-10-31T14:37:11.343000,8.44,2.175985,point_4005.png,sentinel-2,modis_Bolivia,Bolivia,modis
-15.8834,-64.0282,2024-10-31T06:11:00,2024-10-31T14:37:11.343000,8.44,2.175985,point_4006.png,sentinel-2,modis_Bolivia,Bolivia,modis
-14.3551,-62.5704,2024-10-31T06:10:00,2024-10-31T14:36:35.648000,8.44,4.348846,point_4031.png,sentinel-2,modis_Bolivia,Bolivia,modis
-14.3533,-62.5818,2024-10-31T06:10:00,2024-10-31T14:36:35.648000,8.44,4.348846,point_4032.png,sentinel-2,modis_Bolivia,Bolivia,modis
